,equity
1471,180230.63347852923
1472,179711.6053644999
1473,176826.02398093083
1474,184460.89282763662
1475,183692.68281807713
1476,182558.68623371315
1477,173916.08136356916
1478,177122.8498201762
1479,176206.9003081158
1480,178012.32498835184
1481,179797.10646299578
1482,188204.2001160692
1483,190608.28526066843
1484,192773.2646664722
1485,192682.6819085267
1486,197264.94492934408
1487,199314.43842746437
1488,202593.34212968647
1489,204398.19898109257
1490,202935.96086446627
1491,200190.34603483332
1492,211060.27564646673
1493,202704.6362750149
1494,195757.6881618252
1495,198723.21790996214
1496,193077.8752448003
1497,190509.4753405212
1498,195977.24992605776
1499,183134.4141555701
1500,189134.3718604862
1501,194996.63909224456
1502,200248.80429774514
1503,199362.5841366782
1504,205437.9084292864
1505,201250.94125448348
1506,206375.97823405356
1507,211327.30573836295
1508,219482.87108521414
1509,221787.22780949832
1510,216677.89860878667
1511,222668.76863891177
1512,219601.93492868406
1513,227072.4084164244
1514,231059.6011805922
1515,226526.6153838204
1516,209449.44272995315
1517,204642.53339228177
1518,194796.67072745546
1519,206141.28903723485
1520,194856.42046762316
1521,198338.4267714347
1522,194813.37045093553
1523,205529.34362736135
1524,206208.97414993186
1525,203754.9366976942
1526,217217.712725827
1527,215494.26006518325
1528,215064.39513339513
1529,203521.5516961769
1530,207486.99565827695
1531,213562.077000864
1532,204250.67336867927
1533,210238.6789822427
1534,207129.74795579546
1535,202789.1537818418
1536,209897.35559664687
1537,209700.97311125594
1538,221568.741568649
1539,208692.28885863005
1540,209883.65174118357
1541,213091.87021871278
1542,217078.81364262724
1543,215257.5663148095
1544,215026.44105351125
1545,199154.36159356497
1546,197305.22233799938
1547,191831.0915785152
1548,192694.79376344153
1549,192433.53643023068
1550,191028.44602718364
1551,190707.78583962674
1552,192333.64812999952
1553,192433.92455112044
1554,199299.92811525156
1555,199259.07938449338
1556,204093.21843112152
1557,206730.024393501
1558,200834.88640004088
1559,197350.59194007333
1560,196068.19593078538
1561,196787.775403785
1562,200188.25374269902
1563,199793.35792185986
1564,201127.48304895827
1565,195911.5297726342
1566,191906.05985356186
1567,197571.86592794547
1568,194269.83165993704
1569,200311.8779775556
1570,193209.0792392914
1571,186056.90845520434
1572,189430.956587424
1573,185308.97559409123
1574,185082.61517891363
1575,192174.1615126262
1576,190061.01095075958
1577,198263.60984656165
1578,213409.98802191962
1579,214380.24688341585
1580,215318.90613125815
1581,215439.83063763494
1582,215528.75191291928
1583,215505.76752664536
1584,215181.26521871967
1585,214527.70454794526
1586,214879.528422762
