date,drawdown
2009-03-09,-0.11106543570144256
2009-03-10,-0.13039944424482963
2009-03-11,-0.13172639928694496
2009-03-12,-0.13786034762616173
2009-03-13,-0.1386425993243996
2009-03-16,-0.14184984482923146
2009-03-17,-0.1438647906021454
2009-03-18,-0.1459835855059386
2009-03-19,-0.14627741076469147
2009-03-20,-0.1452905914467435
2009-03-23,-0.15488833101845645
2009-03-24,-0.1538338826564125
2009-03-25,-0.15516873839754886
2009-03-26,-0.1573895476618592
2009-03-27,-0.15617942817326336
2009-03-30,-0.1529433101244011
2009-03-31,-0.15430166193358796
2009-04-01,-0.15527228552861128
2009-04-02,-0.1587344457462586
2009-04-03,-0.15909203737447963
2009-04-06,-0.15882455469368495
2009-04-07,-0.15806516537213078
2009-04-08,-0.1584313331061079
2009-04-09,-0.15964191125314808
2009-04-13,-0.15964191125314808
2009-04-14,-0.1596587511754295
2009-04-15,-0.15974831015905744
2009-04-16,-0.15854963170688807
2009-04-17,-0.1572269045539486
2009-04-20,-0.16285883144039126
2009-04-21,-0.1624054984771799
2009-04-22,-0.15964653646633808
2009-04-23,-0.16133522148370538
2009-04-24,-0.15722393812161428
2009-04-27,-0.15698529774448888
2009-04-28,-0.16058821399993206
2009-04-29,-0.15356564456058175
2009-04-30,-0.15038811738658053
2009-05-01,-0.1498497217461242
2009-05-04,-0.13966685777235832
2009-05-05,-0.1426986207890073
2009-05-06,-0.13889707897371584
2009-05-07,-0.14468564553917485
2009-05-08,-0.13398651782479964
2009-05-11,-0.14098976588468526
2009-05-12,-0.14187328456988102
2009-05-13,-0.15495333229362718
2009-05-14,-0.15231163320010266
2009-05-15,-0.15507942361288773
2009-05-18,-0.1420456205887931
2009-05-19,-0.13463796384860427
2009-05-20,-0.1300532219415621
2009-05-21,-0.14434829476558064
2009-05-22,-0.14335249378711756
2009-05-25,-0.14337489482525279
2009-05-26,-0.13213959116076923
2009-05-27,-0.13562637333078698
2009-05-28,-0.13699881369429412
2009-05-29,-0.13311587194108654
2009-06-01,-0.11154395014233942
2009-06-02,-0.11093069356665741
2009-06-03,-0.12115045692346083
2009-06-04,-0.11756799061075363
2009-06-05,-0.11733898111094976
2009-06-08,-0.12381187060255805
2009-06-09,-0.12336369023281879
2009-06-10,-0.11996119914809567
2009-06-11,-0.11258024619592988
2009-06-12,-0.11572817392108059
2009-06-15,-0.14128185694773276
2009-06-16,-0.145245444712786
2009-06-17,-0.15340577747646456
2009-06-18,-0.14799542561427403
2009-06-19,-0.1468673552622528
2009-06-22,-0.1673549339905701
2009-06-23,-0.1657638046932176
2009-06-24,-0.1555651072406502
2009-06-25,-0.1508613560592006
2009-06-26,-0.1523078434310633
2009-06-29,-0.14511950240020377
2009-06-30,-0.15111821476700005
2009-07-01,-0.14541777127895095
2009-07-02,-0.1636251595440108
2009-07-03,-0.16406262007249173
2009-07-06,-0.165620768488708
2009-07-07,-0.1734076293645922
2009-07-08,-0.17466611112806352
2009-07-09,-0.1719054528813856
2009-07-10,-0.17400831971887254
2009-07-13,-0.16422737247572994
2009-07-14,-0.16168595898349614
2009-07-15,-0.15139131792065075
2009-07-16,-0.1483304051361557
2009-07-17,-0.14800356736097497
2009-07-20,-0.14306384927611215
2009-07-21,-0.1392686927691008
2009-07-22,-0.13856171399341555
2009-07-23,-0.12555211975153102
2009-07-24,-0.1253288847553402
2009-07-27,-0.12312296078891527
2009-07-28,-0.12814092750935369
2009-07-29,-0.12460380046837649
2009-07-30,-0.11436587472402215
2009-07-31,-0.1159775792764558
2009-08-03,-0.10284424574559992
2009-08-04,-0.10233459019179636
2009-08-05,-0.10848363515412374
2009-08-06,-0.10959204604415407
2009-08-07,-0.09572755818675416
2009-08-10,-0.10104891865448762
2009-08-11,-0.11928306161034119
2009-08-12,-0.1082948843281818
2009-08-13,-0.10073751162212807
2009-08-14,-0.11333383862958313
2009-08-17,-0.13447018272810085
2009-08-18,-0.12480755920564923
2009-08-19,-0.12283470797233054
2009-08-20,-0.1110299658203443
2009-08-21,-0.08802108891959681
2009-08-24,-0.0840099188372534
2009-08-25,-0.07970298315703706
2009-08-26,-0.08271295090563058
2009-08-27,-0.08596641969371299
2009-08-28,-0.08280753468256064
2009-08-31,-0.09525634494273316
2009-09-01,-0.1258942913880614
2009-09-02,-0.1287739298578905
2009-09-03,-0.12489075737058286
2009-09-04,-0.10963402003768574
2009-09-07,-0.10272449644517534
2009-09-08,-0.09564812727925354
2009-09-09,-0.0822925135021143
2009-09-10,-0.07374096844132116
2009-09-11,-0.0720543872912296
2009-09-14,-0.06813037230265961
2009-09-15,-0.06513549760216042
2009-09-16,-0.04689620742965783
2009-09-17,-0.045909752793073855
2009-09-18,-0.046759294679583174
2009-09-21,-0.05321280555733121
2009-09-22,-0.044310467052873115
2009-09-23,-0.052944544727686726
2009-09-24,-0.0710768659923049
2009-09-25,-0.07812970756151583
2009-09-28,-0.04813360028491642
2009-09-29,-0.05203983422837666
2009-09-30,-0.058336817660970874
2009-10-01,-0.090389748405035
2009-10-02,-0.10208578261254442
2009-10-05,-0.08856329650360328
2009-10-06,-0.06651582790293875
2009-10-07,-0.06628709404804112
2009-10-08,-0.054641168009730956
2009-10-09,-0.051395793696330294
2009-10-12,-0.0420958360325383
2009-10-13,-0.05016259383445676
2009-10-14,-0.02595382462876772
2009-10-15,-0.025316857954910787
2009-10-16,-0.03870394303620872
2009-10-19,-0.021727813742656643
2009-10-20,-0.030139711251319756
2009-10-21,-0.03477789805275766
2009-10-22,-0.03337020705941751
2009-10-23,-0.04406719497182732
2009-10-26,-0.06118468634330454
2009-10-27,-0.06390713573924456
2009-10-28,-0.0875045964791793
2009-10-29,-0.06794508411156408
2009-10-30,-0.09328050044562053
2009-11-02,-0.08960352747322231
2009-11-03,-0.0920217729484476
2009-11-04,-0.08748143910539408
2009-11-05,-0.07857911967639308
2009-11-06,-0.0774146581351618
2009-11-09,-0.06474905729103031
2009-11-10,-0.0649964798695255
2009-11-11,-0.06122117958333195
2009-11-12,-0.06523506965611214
2009-11-13,-0.06233624825144446
2009-11-16,-0.051554244117639425
2009-11-17,-0.05232350096903993
2009-11-18,-0.05213904629066102
2009-11-19,-0.0628521357026578
2009-11-20,-0.06609589312805941
2009-11-23,-0.05355871124074807
2009-11-24,-0.05527363726016954
2009-11-25,-0.051631894433815884
2009-11-26,-0.060251206795741585
2009-11-27,-0.06500888228572543
2009-11-30,-0.06600859953191696
2009-12-01,-0.053533490150103
2009-12-02,-0.05314130788836402
2009-12-03,-0.05756789904985027
2009-12-04,-0.052885889222189064
2009-12-07,-0.05551847939238341
2009-12-08,-0.06456727694758047
2009-12-09,-0.0647167972387871
2009-12-10,-0.059287428139495724
2009-12-11,-0.05547927861395796
2009-12-14,-0.05019816572087521
2009-12-15,-0.052438498583068704
2009-12-16,-0.04677050825392537
2009-12-17,-0.05798169094802785
2009-12-18,-0.054841427260924114
2009-12-21,-0.04325752777472425
2009-12-22,-0.040348672863372514
2009-12-23,-0.03816071528778442
2009-12-24,-0.03461850967437585
2009-12-28,-0.0306880439372057
2009-12-29,-0.03126598726958474
2009-12-30,-0.034671845521012656
2009-12-31,-0.043314498847417116
2010-01-04,-0.024369977701860335
2010-01-05,-0.022935929089512253
2010-01-06,-0.02227016287720429
2010-01-07,-0.020315605710930273
2010-01-08,-0.016079667081182247
2010-01-11,-0.014256387795125947
2010-01-12,-0.03232359876704749
2010-01-13,-0.02297072729492422
