period_label,start,end,bars,cum_return,vol,max_drawdown,ret_over_vol
2007-12,2007-12-03,2007-12-31,20,-0.0024147703476603555,0.004410454200615609,-0.01917895752623522,-0.5475105823167381
2008-01,2008-01-02,2008-01-31,21,0.017443947600745968,0.0174626053140188,-0.07640043282004894,0.9989315618753719
2008-02,2008-02-01,2008-02-29,20,0.06977062514341892,0.021855472286964446,-0.057187879905231775,3.1923641011882022
2008-03,2008-03-03,2008-03-31,20,-0.01235932304681675,0.028741633565504843,-0.10201387972247966,-0.43001463429866327
2008-04,2008-04-01,2008-04-30,22,-0.03923325308355918,0.007708658102686741,-0.0205171891840229,-5.0895048867046
2008-05,2008-05-01,2008-05-30,21,-0.0020145363706004504,0.008176174006597267,-0.04272878598602792,-0.2463910832835679
2008-06,2008-06-02,2008-06-30,21,-0.030173932581357255,0.010715788046201392,-0.0552801405098271,-2.8158388772959655
2008-07,2008-07-01,2008-07-31,22,-0.016215133553724947,0.0220409150745132,-0.08560830753994986,-0.7356833189051738
2008-08,2008-08-01,2008-08-29,21,-0.03278640126031673,0.01089559569084646,-0.05434699113649566,-3.0091426105193166
2008-09,2008-09-02,2008-09-30,21,0.046783599708102974,0.02160438723979737,-0.057679807058870214,2.1654675593817845
2008-10,2008-10-01,2008-10-31,23,0.07199085054017962,0.02969858106136558,-0.08235896366173201,2.4240501723441388
2008-11,2008-11-03,2008-11-28,19,0.03120065566884822,0.020298002334750723,-0.07889654473526408,1.5371293762949205
2008-12,2008-12-01,2008-12-30,21,-0.004228601659841069,0.0166920402398043,-0.06175692831986834,-0.2533304257053868
2009-01,2009-01-02,2009-01-30,20,0.0,0.0,0.0,
2009-02,2009-02-02,2009-02-27,19,0.016000116379465412,0.004125191602640698,-0.011908743871017702,3.8786359327462767
2009-03,2009-03-02,2009-03-31,22,-0.07826672374431987,0.015110437429930861,-0.11437900773093301,-5.179646460087819
2009-04,2009-04-01,2009-04-30,21,0.004590037546524872,0.0029169669803648687,-0.007647450959753943,1.5735651371517163
2009-05,2009-05-01,2009-05-29,20,0.015228420445532631,0.009357583233993117,-0.027105426617016315,1.6273881903836702
2009-06,2009-06-01,2009-06-30,22,-0.006330247617772344,0.011452848357701197,-0.05548731290558695,-0.5527225560020377
2009-07,2009-07-01,2009-07-31,22,0.029762587177025956,0.008410446168133462,-0.03763147523485888,3.5387643630363064
2009-08,2009-08-03,2009-08-31,21,0.022932871840657842,0.01736841603583333,-0.059416891357258694,1.320377850999441
2009-09,2009-09-01,2009-09-30,21,0.057246504742234805,0.01910268636112823,-0.054731742507664105,2.9967777128312623
2009-10,2009-10-01,2009-10-30,22,-0.061439408980323296,0.022082121706122542,-0.09317114289890982,-2.7823145709448953
2009-11,2009-11-02,2009-11-30,20,0.02336142685034992,0.007336425021030715,-0.020600489528144084,3.184306632096924
2009-12,2009-12-01,2009-12-31,22,0.02725315415920493,0.00855348034882082,-0.02207593251086548,3.1862064385244118
2010-01,2010-01-04,2010-01-29,19,-0.07890332045710535,0.023688574781793433,-0.12815799417460993,-3.3308597576646477
2010-02,2010-02-01,2010-02-26,19,-0.012798862824276003,0.002905187811631009,-0.02334627983963511,-4.405519936795605
2010-03,2010-03-01,2010-03-31,23,0.022804947732183445,0.008812097488737633,-0.02594301289867129,2.587913690393176
2010-04,2010-04-01,2010-04-30,21,0.08881887615942352,0.03598658444038305,-0.10004674308321349,2.468110756845089
2010-05,2010-05-03,2010-05-28,20,-0.08452725880211809,0.01842524341742013,-0.11755158351143069,-4.5875789473805195
2010-06,2010-06-01,2010-06-30,22,0.011492815886526397,0.006095747386686292,-0.02534705478127819,1.8853825720579942
2010-07,2010-07-02,2010-07-30,20,0.0,0.0,0.0,
