period_label,start,end,bars,cum_return,vol,max_drawdown,ret_over_vol
2007-06,2007-06-01,2007-06-29,21,-0.02313686942413662,0.018114819141004924,-0.09095036622958708,-1.2772343595616542
2007-07,2007-07-02,2007-07-31,22,0.01823303172391144,0.003024681181727776,0.0,6.02808383047375
2007-08,2007-08-01,2007-08-31,23,-0.03095269676194312,0.012953570556779532,-0.05661597247521144,-2.389510801386214
2007-09,2007-09-03,2007-09-28,20,-0.002405350556489161,0.0044841803697773215,-0.019891889191926304,-0.5364080741936362
2007-10,2007-10-01,2007-10-31,23,0.0261371765271452,0.017211378476439033,-0.09471891331295668,1.518598673716045
2007-11,2007-11-01,2007-11-30,22,-0.14169167946040795,0.01772353010522091,-0.08945382865939744,-7.994551797481311
2007-12,2007-12-03,2007-12-31,20,-0.012682778584767407,0.005347111459917505,-0.031116133765790144,-2.3718934381373593
2008-01,2008-01-02,2008-01-31,22,0.02048838465429137,0.013843222412573127,-0.04897746835861594,1.480030013509193
2008-02,2008-02-01,2008-02-29,21,0.03089868360733683,0.014446724682315674,-0.03994360627482252,2.1388019974631414
2008-03,2008-03-03,2008-03-31,20,0.002160245555563378,0.02211414711846904,-0.07972921388002263,0.09768613476208671
2008-04,2008-04-01,2008-04-30,22,-0.030185792957011293,0.00804626198469056,-0.010209820099308597,-3.751529966889608
2008-05,2008-05-01,2008-05-30,22,0.0037915016087548548,0.019159806807611403,-0.11182190171499107,0.19788830058811696
2008-06,2008-06-02,2008-06-30,21,-0.06545367613012842,0.017490254796602323,-0.08110122135546449,-3.742294031236385
2008-07,2008-07-01,2008-07-31,23,-0.022068544895532227,0.022468624495099513,-0.13309385756684444,-0.9821938543832737
2008-08,2008-08-01,2008-08-29,21,-0.023792259231981694,0.011311576619376276,-0.052054773192668824,-2.1033548224591883
2008-09,2008-09-01,2008-09-30,22,0.0347037637794021,0.018416663145881095,-0.06017574481232224,1.8843676242817977
2008-10,2008-10-01,2008-10-31,23,0.11166558027088569,0.03411817103483239,-0.10023107274713361,3.2729063980857163
2008-11,2008-11-03,2008-11-28,20,0.008821033258533895,0.020364026928421923,-0.07992375993728684,0.43316743243068706
2008-12,2008-12-01,2008-12-30,21,0.00016036411439523945,0.013852926440856127,-0.05166389174540664,0.011576190423005579
2009-01,2009-01-02,2009-01-30,21,0.0,0.0,0.0,
2009-02,2009-02-02,2009-02-27,20,0.0,0.0,0.0,
2009-03,2009-03-02,2009-03-31,22,0.0,0.0,0.0,
2009-04,2009-04-01,2009-04-30,21,0.011991003890329033,0.0026123710936119386,-0.004910124553243023,4.59008443312314
2009-05,2009-05-01,2009-05-29,21,0.023284055545554905,0.010072066601098075,-0.030636077791394767,2.3117455898292447
2009-06,2009-06-01,2009-06-30,22,-0.017962369777338782,0.014629144503257651,-0.07551954403219163,-1.2278482705081546
2009-07,2009-07-01,2009-07-31,23,0.08195751103578397,0.014218629317788289,-0.06153290707953796,5.764093655163413
2009-08,2009-08-03,2009-08-31,21,0.03694344011729078,0.012395748157157294,-0.03850551535739588,2.9803316144302006
2009-09,2009-09-01,2009-09-30,22,0.04923227324596935,0.0129105755058466,-0.031001953261144077,3.8133290978139853
2009-10,2009-10-01,2009-10-30,22,-0.04566046476847474,0.020019342636194624,-0.09105008256477343,-2.2808173873762176
2009-11,2009-11-02,2009-11-30,21,0.0590918937173559,0.010859497753051684,-0.021328496311396217,5.441494170460156
2009-12,2009-12-01,2009-12-31,22,0.03768220973149239,0.008191599385867998,-0.018086146088775013,4.600104076928013
2010-01,2010-01-04,2010-01-29,20,-0.07360332931256752,0.015060795862041801,-0.10337414185484639,-4.887081000684188
2010-02,2010-02-01,2010-02-26,20,0.01420306274548988,0.011387906932943836,-0.05180111936079557,1.2472057270157468
2010-03,2010-03-01,2010-03-31,23,0.050653311121259925,0.003555290681620116,-0.0044109198240348535,14.247305117166297
2010-04,2010-04-01,2010-04-30,21,0.006342206316332533,0.015510590953509814,-0.04570153905813257,0.40889520814146585
2010-05,2010-05-03,2010-05-31,21,-0.0721274807736122,0.019727211162302288,-0.10222828061400302,-3.656243154706236
2010-06,2010-06-01,2010-06-30,22,0.00391996565663999,0.003643941656548457,-0.015150886679729192,1.0757487430117043
2010-07,2010-07-01,2010-07-30,22,0.0,0.0,0.0,
2010-08,2010-08-02,2010-08-31,22,0.0,0.0,0.0,
2010-09,2010-09-01,2010-09-30,22,0.0,0.0,0.0,
2010-10,2010-10-01,2010-10-29,21,0.054315954271859423,0.008027564043552158,-0.018396133413850158,6.766181369239488
2010-11,2010-11-01,2010-11-30,22,0.013390359781830785,0.027469972314730987,-0.08364858989583857,0.4874544330956643
2010-12,2010-12-01,2010-12-31,22,0.11949750366983469,0.014751722686132144,-0.020071700041705887,8.100579587370657
2011-01,2011-01-03,2011-01-31,21,0.0515228062341202,0.01937411332090575,-0.05048292483396255,2.659363315405212
2011-02,2011-02-01,2011-02-28,20,0.09092220656502592,0.019148841998974098,-0.08730352516577611,4.748183026936934
2011-03,2011-03-01,2011-03-31,23,-0.07699938344380042,0.021377497741955874,-0.1604142999360081,-3.6018894434347195
2011-04,2011-04-01,2011-04-29,20,0.05328978442405696,0.008316946994765316,-0.02709199773789983,6.4073733375477255
2011-05,2011-05-02,2011-05-31,22,-0.03189217446708803,0.011824971652848787,-0.06449521703313243,-2.6970191052766537
2011-06,2011-06-01,2011-06-30,22,-0.03362058369405141,0.012273376910679815,-0.04014100667815612,-2.7393099665012395
2011-07,2011-07-01,2011-07-29,21,-0.02191114176561182,0.007471110428835336,-0.03615172602918204,-2.932782479167227
2011-08,2011-08-01,2011-08-31,23,-0.0753608621006453,0.007473206862076559,-0.06978644921685284,-10.084139712908334
2011-09,2011-09-01,2011-09-30,22,0.007335761922085737,0.0055984410603505215,-0.017058720919942316,1.31032225632227
2011-10,2011-10-03,2011-10-31,21,-0.03655041350531807,0.006752475732768536,-0.055122401447996294,-5.4128907606354755
2011-11,2011-11-01,2011-11-30,22,0.0017397489751327377,0.0061340835864270625,-0.023639592997286796,0.2836200307055311
2011-12,2011-12-01,2011-12-30,21,0.001509210442434128,0.001181661291649768,-0.0028961010579483526,1.2771937721062645
2012-01,2012-01-02,2012-01-31,22,0.006640921013566281,0.005541248447168023,-0.01693658640392859,1.1984521316600178
2012-02,2012-02-01,2012-02-29,21,0.07328575789520086,0.011008138221217427,-0.024638180658277387,6.65741621539123
2012-03,2012-03-01,2012-03-30,22,0.05951525586315598,0.020661463372109105,-0.05511307282518618,2.8804956740622534
2012-04,2012-04-02,2012-04-30,20,-0.058381596862745466,0.018118923548521505,-0.11025630361288752,-3.222133848426629
2012-05,2012-05-01,2012-05-31,23,-0.013311651962790494,0.006099195883923657,-0.034106489966197806,-2.1825257322653835
2012-06,2012-06-01,2012-06-29,21,-0.030330575540279403,0.012238196977672323,-0.06586603337146102,-2.478353273412356
2012-07,2012-07-02,2012-07-31,22,0.003182502343271665,0.004914423884085556,-0.02386772533696635,0.6475840135763633
2012-08,2012-08-01,2012-08-31,23,0.016026041952905468,0.009424750875152103,-0.030627991885833206,1.7004207501290403
2012-09,2012-09-03,2012-09-28,20,0.04710883917343622,0.016942204120597396,-0.055321597720965454,2.780561421530974
2012-10,2012-10-01,2012-10-31,23,-0.030665605586124856,0.015243489412019662,-0.07984779040502954,-2.0117182330933154
2012-11,2012-11-01,2012-11-30,22,-0.036896836222503726,0.006932039789914888,-0.05090356204548474,-5.322652111169828
2012-12,2012-12-03,2012-12-31,20,0.007174473280681326,0.0032958723784610898,-0.013106759586671846,2.176805548530139
2013-01,2013-01-02,2013-01-31,22,0.05251851681194797,0.010888135064216257,-0.019490834665195078,4.823463017514315
2013-02,2013-02-01,2013-02-28,20,-0.03153639501265837,0.018960510745344432,-0.08047370962694411,-1.6632671680746693
2013-03,2013-03-01,2013-03-28,20,0.04472301502666065,0.009440932907944101,-0.02581462212635799,4.737139376239856
2013-04,2013-04-01,2013-04-30,22,-0.009379447352849235,0.016539976125495015,-0.05919462630619676,-0.5670774420521434
2013-05,2013-05-01,2013-05-31,23,0.029535638159018385,0.01216130691665916,-0.04172372002404212,2.428656587768458
2013-06,2013-06-03,2013-06-28,20,-0.03660437062850597,0.015875248191819725,-0.06084945524523011,-2.3057510777921344
2013-07,2013-07-01,2013-07-31,23,0.0038002410129194253,0.0005195544284901034,-0.0003188894866941183,7.314423291441184
2013-08,2013-08-01,2013-08-30,22,-0.027734503469794114,0.011337039603214466,-0.04925244220122593,-2.446362052217791
2013-09,2013-09-02,2013-09-30,21,0.006697102849147818,0.0073733080104281855,-0.03973136635740726,0.9082901242801739
2013-10,2013-10-01,2013-10-31,23,0.09900784601016221,0.012922876188638908,-0.046071704130601576,7.661440422775585
2013-11,2013-11-01,2013-11-29,21,0.12767661908540018,0.010060089361838807,-0.011352501115721503,12.691400095283363
2013-12,2013-12-02,2013-12-31,21,-0.028005066858877048,0.02093603825014359,-0.10811354275907459,-1.3376488199091332
2014-01,2014-01-02,2014-01-31,22,-0.07818802924657686,0.016902641952574328,-0.09147680518718371,-4.625787463637812
2014-02,2014-02-03,2014-02-28,20,0.011749782265379372,0.007113023006427852,-0.0040772192490341475,1.651869009106452
2014-03,2014-03-03,2014-03-31,21,-0.020534950617060455,0.011016522389126612,-0.038091129420246506,-1.8640138776760078
2014-04,2014-04-01,2014-04-30,21,-0.0009058029821183977,0.01056700250525824,-0.053618339521301905,-0.08571995527280907
2014-05,2014-05-01,2014-05-30,22,0.044953226034891935,0.00709292518986015,-0.02004010786052013,6.337755556643375
2014-06,2014-06-02,2014-06-30,21,0.006517428738881614,0.010215928649887056,-0.04069593122452664,0.637967331433317
2014-07,2014-07-01,2014-07-31,23,-0.029300111415780816,0.015503358354952892,-0.07678668760330765,-1.8899202833959035
2014-08,2014-08-01,2014-08-29,21,0.015966571511732086,0.00897351888452442,-0.025800496914593407,1.7792988143444781
2014-09,2014-09-01,2014-09-30,22,-0.051256292027785144,0.011406842387214499,-0.05524942500839447,-4.493468945028678
2014-10,2014-10-01,2014-10-31,23,-0.06565117502334283,0.011036608525168823,-0.05169317618411695,-5.948491773865703
2014-11,2014-11-03,2014-11-28,20,0.051396592466192104,0.004253325317668925,-0.004216217428807734,12.083861126888948
2014-12,2014-12-01,2014-12-31,22,-0.017467587478799063,0.015442625079391018,-0.09832136629653654,-1.13112812031618
2015-01,2015-01-02,2015-01-30,21,-0.0002739616951341617,5.978334311766502e-05,-0.0002739616951341617,-4.582575694954912
2015-02,2015-02-02,2015-02-27,20,0.07627493255316797,0.007321438600381466,-0.021759668325195936,10.418025297541094
2015-03,2015-03-02,2015-03-31,22,0.06972737435746845,0.015155169813235276,-0.034331792645449166,4.600896935946855
2015-04,2015-04-01,2015-04-30,21,-0.024107514582477396,0.010580333107563391,-0.05042903226823814,-2.27852132228654
2015-05,2015-05-01,2015-05-29,20,0.011950462757679414,0.012821261834101736,-0.03360949812395109,0.9320816400374737
2015-06,2015-06-01,2015-06-30,22,-0.05072081845029319,0.011770300213518785,-0.07492068727031775,-4.309220455739758
2015-07,2015-07-01,2015-07-31,23,-0.008731126048471038,0.00851823157029142,-0.05240136913421667,-1.024992802370168
2015-08,2015-08-03,2015-08-31,21,-0.06925030341108873,0.009330887058544075,-0.08140999043203112,-7.421620578686337
2015-09,2015-09-01,2015-09-30,22,0.0032920134085392405,0.005471450285455277,-0.013107132076699224,0.601671081119092
2015-10,2015-10-01,2015-10-30,22,-0.022310465775918664,0.0044344956938152805,-0.03525693387908779,-5.0311167980238904
2015-11,2015-11-02,2015-11-30,21,0.03866857598965101,0.010072990108678414,-0.034664625489729484,3.838837879562295
2015-12,2015-12-01,2015-12-31,22,-0.08701388064606541,0.01601855472698483,-0.10188109056102668,-5.432068131557585
2016-01,2016-01-04,2016-01-29,20,-0.06515973134561004,0.010438143221489152,-0.06637923073971308,-6.242463814010981
2016-02,2016-02-01,2016-02-29,21,0.006014447550400481,0.010575810461505842,-0.060380086995376114,0.5686985004404203
2016-03,2016-03-01,2016-03-31,22,-0.02147834112795144,0.0044908300027133065,-0.016155006789197568,-4.7827107939900815
2016-04,2016-04-01,2016-04-29,21,-0.029296814045723263,0.01180874076993781,-0.05902773896995439,-2.480943109557104
2016-05,2016-05-02,2016-05-31,22,0.03776770719070277,0.020076027843836088,-0.05818533719643326,1.8812340511023216
2016-06,2016-06-01,2016-06-30,22,-0.14822065451167388,0.030134308615170878,-0.17530064756386943,-4.918667834876204
2016-07,2016-07-01,2016-07-29,21,0.0,0.0,0.0,
2016-08,2016-08-01,2016-08-31,23,0.014217847846613951,0.008503434397939609,-0.026543487005218802,1.6720124106630316
2016-09,2016-09-01,2016-09-30,22,-0.021528783495298742,0.00588167991421459,-0.03842073237485821,-3.660311987272362
2016-10,2016-10-03,2016-10-31,21,-0.0003898612546732183,0.0013204732778731132,-0.005195345784006489,-0.295243577591489
2016-11,2016-11-01,2016-11-30,22,-0.053706424556543175,0.004898573528586727,-0.05362571570747532,-10.963686518764547
2016-12,2016-12-01,2016-12-30,21,0.0787251755653906,0.009903561994541078,-0.0169114770493326,7.949177842152606
2017-01,2017-01-02,2017-01-31,22,0.03796523484672942,0.01666591963813383,-0.054340454831335094,2.278016195389539
2017-02,2017-02-01,2017-02-28,20,0.07908609445207126,0.008186150139086204,-0.014576725145873937,9.660963103334849
