date,price,price_diff,sigma_price,ewma_short,ewma_long,raw_forecast,scaled_forecast,capped_forecast,N_unrounded,position,forecast_scale,buffer_contracts,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2007-06-26,13337.66015625,-14.3896484375,93.31046323405491,13459.896028812651,13113.441363741475,3.7129240715711402,10.758673285888088,10.758673285888088,1.8594705120697728,2,2.8976281438837797,0.17283455521498167,2.0,-28.779296875,0.0,0.0,0.0,0.0,-28.779296875,14582.862393750002,0.09567231728058026,1,OOS
2007-06-27,13427.73046875,90.0703125,92.6023392875474,13456.832642140018,13121.2015885565,3.6244338551893565,10.502261544441867,10.502261544441867,1.8177350562620693,2,2.8976281438837797,0.17308034546369425,2.0,180.140625,0.0,0.0,0.0,0.0,180.140625,14763.003018750002,0.08450124883247523,1,OOS
2007-06-28,13422.2802734375,-5.4501953125,92.55893321899867,13453.541940358826,13128.6356301585,3.5102642057421125,10.171440355026187,10.171440355026187,1.7619843541179316,2,2.8976281438837797,0.17322859817461866,2.0,-10.900390625,0.0,0.0,0.0,0.0,-10.900390625,14752.102628125002,0.08517721523251941,1,OOS
2007-06-29,13408.6201171875,-13.66015625,92.37964640570739,13449.263671485367,13135.548827369093,3.3959303409597337,9.840143330633763,9.840143330633763,1.709606583778585,2,2.8976281438837797,0.1737379757931307,2.0,-27.3203125,0.0,0.0,0.0,0.0,-27.3203125,14724.782315625002,0.08687143096515117,1,OOS
2007-07-02,13535.4296875,126.8095703125,93.29634089616913,13457.469958724856,13145.422428853808,3.3446920519458563,9.691673822342702,9.691673822342702,1.6516879314511295,2,2.8976281438837797,0.17042339246327198,2.0,253.619140625,0.0,0.0,0.0,0.0,253.619140625,14978.401456250002,0.07114373611746509,1,OOS
2007-07-03,13577.2998046875,41.8701171875,93.53664545071324,13468.882325007013,13156.086067763283,3.3441038615026026,9.689969465160367,9.689969465160367,1.6422256370959947,2,2.8976281438837797,0.16947686398811748,2.0,83.740234375,0.0,0.0,0.0,0.0,83.740234375,15062.141690625002,0.06595074930472654,1,OOS
2007-07-05,13565.83984375,0.0,,13565.83984375,13565.83984375,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-06,13611.6796875,45.83984375,,13570.205543154761,13566.971691743827,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-09,13649.9697265625,38.2900390625,,13577.802132050736,13569.021025936881,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-10,13501.7001953125,-148.26953125,,13570.554328551856,13567.358783205415,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-07-11,13577.8701171875,76.169921875,,13571.25107032668,13567.618322316082,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-12,13861.73046875,283.8603515625,,13598.915774938425,13574.880350623092,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-13,13907.25,45.51953125,,13628.280939230004,13583.0870086324,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-16,13950.98046875,43.73046875,,13659.014227755719,13592.170797771105,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-17,13971.5498046875,20.5693359375,,13688.779520796841,13601.53818065793,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
2007-07-18,13918.2197265625,-53.330078125,,13710.630968964999,13609.357478087672,,,,,0,5.325546588611702,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,10000.0,0.0,2,OOS
2007-07-19,14000.41015625,82.1904296875,,13738.228986801665,13619.013099770693,,,,,0,5.325546588611702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,2,OOS
