date,raw_forecast,scaled_forecast,capped_forecast,position,price_diff,prev_pos,pnl_price,delta_pos,cost_usd,cost_pct,slip_cost,pnl,equity,drawdown,bundle,sample
2017-06-19,15.689589401522746,13.328969617362445,13.328969617362445,0,20.31005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-06-20,15.440609005599711,13.117450243104319,13.117450243104319,0,-16.429931640625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-06-21,15.128089086142225,12.851951356889675,12.851951356889675,0,-1.419921875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-06-22,14.731504975485086,12.515036385669033,12.515036385669033,0,-1.110107421875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-06-23,14.494537598715297,12.313722579141753,12.313722579141753,0,3.800048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-06-26,14.302036250079192,12.150184543721725,12.150184543721725,0,0.77001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-06-27,13.449598878095493,11.426002951641804,11.426002951641804,0,-19.690185546875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-06-28,13.31525866009676,11.311875255991515,11.311875255991515,0,21.31005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-06-29,12.353135777462143,10.494511184656332,10.494511184656332,0,-20.989990234375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-06-30,11.608971883028879,9.86231249000621,9.86231249000621,0,3.7099609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-03,11.14246780930966,9.465997553658939,9.465997553658939,0,5.60009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-05,10.850906646442887,9.218304017391068,9.218304017391068,0,3.530029296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-06,9.971242139788638,8.470991823132584,8.470991823132584,0,-22.7900390625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-07-07,9.661986219063062,8.20826584185607,8.20826584185607,0,15.429931640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-10,9.447601782455115,8.026137197896443,8.026137197896443,0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-11,9.184231381138758,7.802392905587712,7.802392905587712,0,-1.89990234375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-07-12,9.524019469473954,8.091057254274997,8.091057254274997,0,17.719970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-13,9.990728730357723,8.487546505794715,8.487546505794715,0,4.580078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-14,10.610472475952877,9.014045023008077,9.014045023008077,0,11.43994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-17,11.182601471863633,9.50009279701588,9.50009279701588,0,-0.130126953125,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-07-18,11.71886954170524,9.95567519797958,9.95567519797958,0,1.47021484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-19,12.217875063505256,10.379601488767214,10.379601488767214,0,13.219970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-20,12.67199799165648,10.7653981184284,10.7653981184284,0,-0.380126953125,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-07-21,13.069060905646829,11.10271985332639,11.10271985332639,0,-0.909912109375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-07-24,13.365028163669203,11.35415655373688,11.35415655373688,0,-2.630126953125,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-07-25,13.750434568695942,11.681575591384846,11.681575591384846,0,7.219970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-26,14.109789161645613,11.986862513094916,11.986862513094916,0,0.7001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-07-27,14.381183662631797,12.217423617365306,12.217423617365306,0,-2.41015625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-07-28,14.546368531778077,12.35775514840493,12.35775514840493,0,-3.31982421875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-07-31,14.652541006499062,12.447953155092016,12.447953155092016,0,-1.800048828125,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-08-01,14.911456455137076,12.66791277672666,12.66791277672666,0,6.050048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-02,15.185561886094058,12.900776930636582,12.900776930636582,0,1.219970703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-03,15.272439715888197,12.974583320600876,12.974583320600876,0,-5.41015625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-08-04,15.498872057887212,13.166947169625514,13.166947169625514,0,4.670166015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-07,15.741882972496526,13.373395217093261,13.373395217093261,0,4.079833984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-08,15.736538360079791,13.368854742852914,13.368854742852914,0,-5.989990234375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-08-09,15.670780849602075,13.312990957202423,13.312990957202423,0,-0.89990234375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-08-10,14.389591900516294,12.224566770983278,12.224566770983278,0,-35.81005859375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-08-11,13.300063749298646,11.298966536764807,11.298966536764807,0,3.110107421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-14,13.159729308046375,11.179746495000074,11.179746495000074,0,24.52001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-15,12.982306554157056,11.029018363402827,11.029018363402827,0,-1.22998046875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-08-16,12.942093547931117,10.994855714241574,10.994855714241574,0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-17,11.743610353072993,9.976693563380378,9.976693563380378,0,-38.10009765625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-08-18,10.57507832355129,8.98397619393169,8.98397619393169,0,-4.4599609375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-08-21,9.566202739823376,8.12689372612007,8.12689372612007,0,2.820068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-22,9.348480906120544,7.941929822209377,7.941929822209377,0,24.139892578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-23,8.887384010654621,7.550208512426156,7.550208512426156,0,-8.469970703125,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-08-24,8.301303800879912,7.0523085923258675,7.0523085923258675,0,-5.070068359375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-08-25,7.874028514848338,6.689320169874739,6.689320169874739,0,4.080078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-28,7.5079818999672225,6.378348092567525,6.378348092567525,0,1.18994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-29,7.225329789253749,6.138223172815476,6.138223172815476,0,2.06005859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-30,7.298680000634403,6.200537278933827,6.200537278933827,0,11.2900390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-08-31,7.766855506159086,6.598272167274892,6.598272167274892,0,14.059814453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-01,8.360129996209203,7.102283932673082,7.102283932673082,0,4.900146484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-05,8.357692161581877,7.100212889075432,7.100212889075432,0,-18.699951171875,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-09-06,8.614267326548859,7.318184340774655,7.318184340774655,0,7.68994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-07,8.835744100355116,7.506338225077615,7.506338225077615,0,-0.43994140625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-09-08,8.914367706580322,7.5731323030973705,7.5731323030973705,0,-3.670166015625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-09-11,9.559074946874597,8.1208383646175,8.1208383646175,0,26.68017578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-12,10.160757313048046,8.631992976302257,8.631992976302257,0,8.369873046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-13,10.722528724454135,9.109241544311809,9.109241544311809,0,1.89013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-14,11.175974804827257,9.494463163165573,9.494463163165573,0,-2.75,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-09-15,11.670761605838655,9.914805472258301,9.914805472258301,0,4.60986328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-18,12.133329627403343,10.307776565867723,10.307776565867723,0,3.64013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-19,12.565976596204782,10.67532845996883,10.67532845996883,0,2.77978515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-20,12.970827737135869,11.019266622971442,11.019266622971442,0,1.590087890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-21,13.153118254743083,11.174130125676236,11.174130125676236,0,-7.639892578125,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-09-22,13.359726263428342,11.349652365295986,11.349652365295986,0,1.619873046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-25,13.401325789785007,11.384992921936101,11.384992921936101,0,-5.56005859375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-09-26,13.43916651293541,11.41714021631474,11.41714021631474,0,0.18017578125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-27,13.751666847898159,11.682622464672994,11.682622464672994,0,10.199951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-28,14.082297871556909,11.963507499719048,11.963507499719048,0,3.02001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-09-29,14.392234787806665,12.226812015488662,12.226812015488662,0,9.300048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-02,14.68291882070375,12.473760392758598,12.473760392758598,0,9.760009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-03,14.9556844437477,12.705486323193774,12.705486323193774,0,5.4599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-04,15.211767563037577,12.92303976128457,12.92303976128457,0,3.159912109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-05,15.452313061096442,13.127393333144694,13.127393333144694,0,14.330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-06,15.61381319421497,13.264594525122856,13.264594525122856,0,-2.739990234375,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-10-09,15.64149991340559,13.288115563784352,13.288115563784352,0,-4.60009765625,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,25000.0,0.0,8,OOS
2017-10-10,15.821668533776643,13.44117642506443,13.44117642506443,0,5.909912109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
2017-10-11,16.028248390866036,13.616674748713127,13.616674748713127,0,4.60009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,8,OOS
