Date,Open,High,Low,Close,Tickvol,Volume,Spread
2023-12-29 00:00:00,33452.5,33631.6,33395.5,33465.5,1389,0,700
2023-12-29 04:00:00,33460.5,33505.5,33300.5,33390.5,1140,0,700
2023-12-29 08:00:00,33400.5,33535.5,33400.5,33510.5,826,0,700
2023-12-29 12:00:00,33510.5,33530.5,33425.5,33480.5,759,0,700
2023-12-29 16:00:00,33480.5,33480.5,33190.5,33255.5,1552,0,700
2023-12-29 20:00:00,33255.5,33345.5,33245.5,33300.5,866,0,700
2024-01-02 00:00:00,33266.5,33266.5,33029.5,33115.5,670,0,700
2024-01-02 04:00:00,33115.5,33360.5,33105.5,33330.5,564,0,700
2024-01-02 08:00:00,33330.5,33435.5,33285.5,33315.5,986,0,700
2024-01-02 12:00:00,33315.5,33345.5,33109.5,33191.5,1235,0,700
2024-01-02 16:00:00,33191.5,33331.5,33082.5,33291.5,1488,0,700
2024-01-02 20:00:00,33291.5,33296.5,32966.5,33064.0,1109,0,700
2024-01-03 00:00:00,33090.0,33246.5,33087.5,33211.5,818,0,700
2024-01-03 04:00:00,33211.5,33286.5,33211.5,33236.5,767,0,700
2024-01-03 08:00:00,33236.5,33355.5,33208.5,33208.5,1180,0,700
2024-01-03 12:00:00,33208.5,33253.5,33159.5,33169.5,1043,0,700
2024-01-03 16:00:00,33169.5,33204.5,33059.5,33174.5,1886,0,700
2024-01-03 20:00:00,33174.5,33224.5,33049.5,33074.5,1347,0,700
2024-01-04 00:00:00,33082.5,33159.5,32684.5,33104.5,1848,0,700
2024-01-04 04:00:00,33109.5,33294.5,33025.6,33269.5,1484,0,700
2024-01-04 08:00:00,33269.5,33384.5,33229.5,33374.5,1262,0,700
2024-01-04 12:00:00,33374.5,33409.5,33304.5,33319.5,1077,0,700
2024-01-04 16:00:00,33319.5,33514.5,33299.5,33374.5,1641,0,700
2024-01-04 20:00:00,33374.5,33379.5,33279.5,33364.5,1055,0,700
2024-01-05 00:00:00,33345.5,33479.5,33254.5,33464.5,1359,0,700
2024-01-05 04:00:00,33469.5,33569.5,33403.4,33423.4,1217,0,700
2024-01-05 08:00:00,33423.4,33428.4,33329.5,33354.5,1266,0,700
2024-01-05 12:00:00,33354.5,33414.5,33294.5,33404.5,1199,0,700
2024-01-05 16:00:00,33404.5,33624.5,33404.5,33514.5,2076,0,700
2024-01-05 20:00:00,33514.5,33564.5,33379.5,33429.5,1150,0,700
2024-01-08 00:00:00,33466.0,33529.5,33404.5,33409.5,481,0,700
2024-01-08 04:00:00,33409.5,33434.5,33359.5,33364.5,625,0,700
2024-01-08 08:00:00,33369.5,33409.5,33254.5,33304.5,1233,0,700
2024-01-08 12:00:00,33304.5,33439.5,33299.5,33399.5,963,0,700
2024-01-08 16:00:00,33399.5,33694.5,33399.5,33694.5,1386,0,700
2024-01-08 20:00:00,33694.5,33934.5,33689.5,33864.5,1066,0,700
2024-01-09 00:00:00,33875.5,33993.4,33763.5,33819.5,2513,0,700
2024-01-09 04:00:00,33814.5,33884.5,33599.5,33774.5,2315,0,700
2024-01-09 08:00:00,33774.5,33874.5,33709.5,33769.5,1961,0,700
2024-01-09 12:00:00,33769.5,33779.5,33649.5,33659.5,1280,0,700
2024-01-09 16:00:00,33664.5,33919.5,33614.5,33914.5,1957,0,700
2024-01-09 20:00:00,33914.5,33939.5,33834.5,33895.5,1475,0,700
2024-01-10 00:00:00,33899.0,34380.5,33849.5,34370.5,2456,0,700
2024-01-10 04:00:00,34370.5,34545.5,34340.5,34480.5,2376,0,700
2024-01-10 08:00:00,34480.5,34730.5,34450.5,34696.5,2488,0,700
2024-01-10 12:00:00,34696.5,34791.5,34646.5,34766.5,1900,0,700
2024-01-10 16:00:00,34766.5,34836.5,34736.5,34791.5,2030,0,700
2024-01-10 20:00:00,34791.5,34961.5,34756.5,34956.5,1329,0,700
2024-01-11 00:00:00,34940.0,35126.5,34846.5,35101.5,3650,0,700
2024-01-11 04:00:00,35101.5,35161.5,35001.5,35106.5,2531,0,700
2024-01-11 08:00:00,35106.5,35730.0,35091.5,35301.5,3250,0,700
2024-01-11 12:00:00,35301.5,35361.5,35176.5,35176.5,2060,0,700
2024-01-11 16:00:00,35176.5,35361.5,35016.5,35081.5,3227,0,700
2024-01-11 20:00:00,35081.5,35299.5,35081.5,35247.0,1524,0,700
2024-01-12 00:00:00,35248.0,35729.5,35183.5,35434.5,4283,0,200
2024-01-12 04:00:00,35434.5,35629.5,35364.5,35569.5,3436,0,700
2024-01-12 08:00:00,35574.5,35639.5,35424.5,35549.5,2627,0,700
2024-01-12 12:00:00,35549.5,35604.5,35404.5,35564.5,2748,0,700
2024-01-12 16:00:00,35564.5,35691.5,35519.5,35596.5,2999,0,700
2024-01-12 20:00:00,35596.5,35655.5,35516.5,35556.5,1464,0,700
2024-01-15 00:00:00,35557.5,35890.4,35510.5,35801.5,2974,0,700
2024-01-15 04:00:00,35801.5,36021.5,35791.5,35936.5,2447,0,700
2024-01-15 08:00:00,35936.5,36216.5,35916.5,36001.5,2743,0,200
2024-01-15 12:00:00,36006.5,36056.5,35971.5,36031.5,1516,0,700
2024-01-15 16:00:00,36036.5,36191.5,36026.5,36181.5,1149,0,700
2024-01-16 00:00:00,36162.0,36167.5,35598.5,35703.5,4759,0,700
2024-01-16 04:00:00,35703.5,35808.5,35608.5,35678.5,3396,0,700
2024-01-16 08:00:00,35678.5,35800.5,35559.5,35750.5,2864,0,700
2024-01-16 12:00:00,35750.5,35945.5,35730.5,35835.5,1949,0,700
2024-01-16 16:00:00,35835.5,36030.5,35780.5,35845.5,3274,0,700
2024-01-16 20:00:00,35845.5,35910.5,35735.5,35910.5,1597,0,700
2024-01-17 00:00:00,35881.5,36250.5,35795.5,35880.5,4044,0,700
2024-01-17 04:00:00,35870.5,35955.5,35475.5,35500.5,4920,0,700
2024-01-17 08:00:00,35505.5,35610.5,35330.5,35405.5,3656,0,700
2024-01-17 12:00:00,35405.5,35495.5,35345.5,35365.5,2123,0,700
2024-01-17 16:00:00,35365.5,35444.5,35309.5,35364.5,2799,0,700
2024-01-17 20:00:00,35364.5,35534.5,35314.5,35519.5,1291,0,700
2024-01-18 00:00:00,35493.0,35744.5,35363.5,35744.5,4077,0,700
2024-01-18 04:00:00,35739.5,35739.5,35409.5,35459.5,3085,0,700
2024-01-18 08:00:00,35449.5,35649.5,35439.5,35609.5,2226,0,700
